Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
 ,MaOEA-DS,MaOEA-DES,RVEA,NSGA-III,MOEA/DD,1by1EA,MOMBI-II,KnEA,tDEA
1,3.859e-03(3.95e-05)[1] ,3.650e-03(6.26e-05)[5]+,2.945e-03(7.63e-05)[7]+,3.849e-03(4.63e-05)[2]=,1.452e-03(1.99e-04)[9]+,2.287e-03(1.17e-04)[8]+,3.736e-03(7.02e-05)[4]+,3.762e-03(4.96e-05)[3]+,3.609e-03(9.78e-05)[6]+
2,4.174e-03(1.05e-04)[1] ,3.860e-03(1.70e-04)[6]+,2.405e-03(2.06e-04)[7]+,3.959e-03(1.05e-04)[4]+,1.797e-03(1.84e-04)[9]+,2.348e-03(1.30e-04)[8]+,4.002e-03(1.29e-04)[3]+,3.908e-03(1.88e-04)[5]+,4.031e-03(1.09e-04)[2]+
3,2.975e-03(7.70e-05)[1] ,2.799e-03(7.63e-05)[2]+,1.606e-03(1.34e-04)[7]+,2.407e-03(1.14e-04)[6]+,1.208e-03(9.45e-05)[9]+,1.480e-03(9.21e-05)[8]+,2.617e-03(9.43e-05)[3]+,2.598e-03(1.84e-04)[4]+,2.591e-03(7.65e-05)[5]+
4,3.199e-03(6.72e-05)[1] ,3.059e-03(1.03e-04)[2]+,1.204e-03(1.15e-04)[8]+,2.251e-03(1.10e-04)[6]+,1.125e-03(1.53e-04)[9]+,1.494e-03(1.15e-04)[7]+,2.719e-03(1.56e-04)[4]+,2.695e-03(2.02e-04)[5]+,2.875e-03(1.10e-04)[3]+
5,7.359e-03(2.19e-04)[3] ,6.934e-03(1.95e-04)[6]+,4.932e-03(3.46e-04)[7]+,7.636e-03(1.18e-04)[1]-,3.177e-03(3.17e-04)[9]+,4.269e-03(2.26e-04)[8]+,7.390e-03(2.41e-04)[2]=,7.278e-03(2.06e-04)[4]=,6.947e-03(1.95e-04)[5]+
6,5.369e-03(1.48e-04)[1] ,5.157e-03(1.21e-04)[2]+,2.722e-03(2.27e-04)[7]+,4.498e-03(1.87e-04)[6]+,1.653e-03(2.74e-04)[9]+,2.637e-03(2.32e-04)[8]+,4.797e-03(1.66e-04)[4]+,5.009e-03(1.64e-04)[3]+,4.690e-03(1.69e-04)[5]+
7,1.515e-03(2.65e-05)[2] ,1.441e-03(2.86e-05)[5]+,1.022e-03(5.58e-05)[7]+,1.452e-03(3.17e-05)[4]+,6.922e-04(4.91e-05)[9]+,8.688e-04(2.82e-05)[8]+,1.526e-03(3.23e-05)[1]=,1.470e-03(3.17e-05)[3]+,1.431e-03(3.69e-05)[6]+
8,2.342e-03(6.20e-05)[1] ,2.232e-03(7.63e-05)[2]+,1.210e-03(1.12e-04)[8]+,1.909e-03(6.86e-05)[6]+,8.995e-04(1.10e-04)[9]+,1.238e-03(7.46e-05)[7]+,2.154e-03(6.08e-05)[3]+,2.132e-03(1.11e-04)[4]+,2.095e-03(9.18e-05)[5]+
9,1.023e-02(3.77e-04)[1] ,9.218e-03(4.21e-04)[6]+,6.689e-03(5.83e-04)[7]+,1.005e-02(2.85e-04)[2]=,3.583e-03(7.25e-04)[9]+,6.267e-03(2.74e-04)[8]+,1.002e-02(2.68e-04)[3]=,9.518e-03(4.72e-04)[5]+,9.561e-03(4.04e-04)[4]+
10,5.387e-03(1.91e-04)[1] ,4.919e-03(3.48e-04)[6]+,3.382e-03(3.23e-04)[7]+,5.114e-03(2.15e-04)[4]+,2.106e-03(2.70e-04)[9]+,3.348e-03(1.59e-04)[8]+,5.108e-03(2.09e-04)[5]+,5.240e-03(2.74e-04)[2]=,5.209e-03(1.99e-04)[3]+
11,3.697e-03(8.49e-05)[1] ,3.543e-03(1.22e-04)[2]+,2.085e-03(1.22e-04)[7]+,3.121e-03(1.26e-04)[6]+,1.504e-03(1.39e-04)[9]+,2.025e-03(1.16e-04)[8]+,3.459e-03(1.25e-04)[3]+,3.424e-03(2.02e-04)[4]+,3.307e-03(1.49e-04)[5]+
12,1.408e-03(2.67e-05)[1] ,1.353e-03(3.00e-05)[2]+,8.853e-04(5.17e-05)[7]+,1.222e-03(3.03e-05)[5]+,5.315e-04(8.11e-05)[9]+,6.864e-04(5.55e-05)[8]+,1.311e-03(2.60e-05)[4]+,1.323e-03(4.87e-05)[3]+,1.137e-03(4.97e-05)[6]+
13,8.296e-03(3.25e-04)[3] ,7.747e-03(2.43e-04)[5]+,5.143e-03(4.63e-04)[7]+,8.830e-03(1.54e-04)[1]-,2.428e-03(2.46e-04)[9]+,4.013e-03(1.34e-04)[8]+,8.668e-03(2.20e-04)[2]-,8.110e-03(3.40e-04)[4]=,7.657e-03(2.81e-04)[6]+
14,2.450e-03(5.52e-05)[2] ,2.364e-03(8.51e-05)[5]+,1.520e-03(8.16e-05)[7]+,2.405e-03(6.60e-05)[4]+,8.894e-04(7.70e-05)[9]+,1.237e-03(7.64e-05)[8]+,2.484e-03(6.51e-05)[1]=,2.438e-03(8.01e-05)[3]=,2.198e-03(1.18e-04)[6]+
15,4.364e-03(1.18e-04)[1] ,4.143e-03(1.12e-04)[2]+,2.004e-03(2.83e-04)[8]+,3.370e-03(1.72e-04)[6]+,1.379e-03(2.72e-04)[9]+,2.174e-03(1.81e-04)[7]+,3.741e-03(2.03e-04)[5]+,3.858e-03(2.49e-04)[4]+,3.859e-03(1.63e-04)[3]+
16,3.680e-03(9.95e-05)[1] ,3.589e-03(1.46e-04)[2]+,1.516e-03(1.46e-04)[8]+,2.883e-03(1.66e-04)[6]+,1.218e-03(2.55e-04)[9]+,1.735e-03(1.46e-04)[7]+,3.231e-03(1.71e-04)[4]+,3.438e-03(2.25e-04)[3]+,3.209e-03(1.18e-04)[5]+
,,16/0/0,16/0/0,12/2/2,16/0/0,16/0/0,11/4/1,12/4/0,16/0/0
