Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
 ,MaOEA-DS,MaOEA-DES,RVEA,NSGA-III,MOEA/DD,1by1EA,MOMBI-II,KnEA,tDEA
1,9.859e+00(3.23e-01)[2] ,1.090e+01(6.57e-01)[4]+,1.261e+01(4.25e-01)[6]+,1.028e+01(3.40e-01)[3]+,5.021e+01(9.36e+00)[9]+,2.607e+01(1.42e+00)[8]+,1.810e+01(1.26e+00)[7]+,9.823e+00(6.70e-01)[1]=,1.217e+01(6.73e-01)[5]+
2,3.594e+01(2.29e+00)[1] ,4.195e+01(2.96e+00)[2]+,5.528e+01(5.30e+00)[6]+,5.143e+01(1.20e+01)[5]+,1.180e+02(7.88e+00)[9]+,8.386e+01(3.85e+00)[8]+,6.479e+01(6.71e+00)[7]+,4.221e+01(1.63e+01)[3]=,4.813e+01(5.20e+00)[4]+
3,8.256e+01(5.94e+00)[1] ,9.604e+01(9.79e+00)[2]+,1.251e+02(8.64e+00)[7]+,1.194e+02(1.76e+01)[4]+,2.410e+02(1.41e+01)[8]+,2.528e+02(8.62e+00)[9]+,1.196e+02(1.26e+01)[5]+,1.242e+02(3.47e+01)[6]+,1.027e+02(6.77e+00)[3]+
4,1.005e+02(5.91e+00)[1] ,1.165e+02(1.56e+01)[2]+,1.616e+02(1.33e+01)[4]+,2.030e+02(3.21e+01)[7]+,2.856e+02(2.10e+01)[8]+,3.424e+02(1.19e+01)[9]+,1.637e+02(1.99e+01)[5]+,1.861e+02(5.75e+01)[6]+,1.240e+02(5.87e+00)[3]+
5,1.467e+01(2.15e+00)[3] ,1.718e+01(1.99e+00)[5]+,1.886e+01(2.39e+00)[6]+,1.323e+01(1.15e+00)[2]-,5.879e+01(3.79e+00)[9]+,4.323e+01(3.51e+00)[8]+,2.316e+01(2.11e+00)[7]+,1.308e+01(1.67e+00)[1]-,1.703e+01(1.55e+00)[4]+
6,3.667e+01(2.81e+00)[1] ,4.130e+01(3.58e+00)[2]+,6.181e+01(5.04e+00)[5]+,6.489e+01(1.40e+01)[6]+,1.232e+02(6.58e+00)[9]+,1.104e+02(5.29e+00)[8]+,6.930e+01(1.01e+01)[7]+,4.213e+01(8.33e+00)[3]=,5.017e+01(5.57e+00)[4]+
7,2.948e+01(2.26e+00)[1] ,3.499e+01(3.39e+00)[3]+,6.666e+01(8.10e+00)[7]+,4.210e+01(6.42e+00)[5]+,1.380e+02(1.40e+01)[9]+,1.192e+02(5.03e+00)[8]+,5.498e+01(6.51e+00)[6]+,3.016e+01(5.38e+00)[2]=,3.829e+01(3.29e+00)[4]+
8,6.070e+01(4.25e+00)[1] ,7.562e+01(9.03e+00)[2]+,1.212e+02(1.45e+01)[7]+,1.177e+02(2.04e+01)[6]+,2.434e+02(1.49e+01)[8]+,2.728e+02(1.53e+01)[9]+,1.052e+02(1.34e+01)[5]+,9.762e+01(3.60e+01)[4]+,8.378e+01(1.28e+01)[3]+
9,1.639e+01(1.43e+00)[1] ,2.088e+01(3.06e+00)[5]+,2.231e+01(2.56e+00)[6]+,2.045e+01(4.57e+00)[4]+,6.206e+01(6.19e+00)[9]+,3.358e+01(3.36e+00)[8]+,3.283e+01(3.58e+00)[7]+,1.689e+01(3.56e+00)[2]=,2.033e+01(1.76e+00)[3]+
10,4.507e+01(3.57e+00)[1] ,5.571e+01(7.57e+00)[4]+,6.440e+01(7.50e+00)[5]+,6.915e+01(1.36e+01)[6]+,1.146e+02(8.62e+00)[9]+,7.559e+01(5.38e+00)[7]+,8.463e+01(1.02e+01)[8]+,5.438e+01(1.90e+01)[3]=,5.185e+01(3.63e+00)[2]+
11,5.390e+01(5.45e+00)[1] ,5.811e+01(6.93e+00)[2]=,9.065e+01(4.87e+00)[5]+,1.061e+02(1.52e+01)[7]+,1.527e+02(6.70e+00)[9]+,1.502e+02(5.33e+00)[8]+,9.717e+01(9.29e+00)[6]+,8.512e+01(2.73e+01)[4]+,7.371e+01(8.77e+00)[3]+
12,4.111e+01(3.10e+00)[1] ,4.949e+01(9.06e+00)[2]+,6.604e+01(4.84e+00)[5]+,9.107e+01(1.10e+01)[7]+,1.391e+02(4.21e+00)[9]+,9.253e+01(3.50e+00)[8]+,8.922e+01(1.07e+01)[6]+,5.038e+01(1.28e+01)[3]+,6.127e+01(6.23e+00)[4]+
13,2.002e+01(2.21e+00)[3] ,2.445e+01(3.04e+00)[4]+,3.243e+01(3.39e+00)[7]+,1.717e+01(1.69e+00)[1]-,8.159e+01(3.50e+00)[9]+,5.588e+01(2.16e+00)[8]+,2.803e+01(2.80e+00)[6]+,1.869e+01(2.16e+00)[2]-,2.538e+01(3.31e+00)[5]+
14,2.148e+01(2.21e+00)[1] ,2.424e+01(2.74e+00)[3]+,3.821e+01(3.80e+00)[7]+,2.581e+01(4.25e+00)[4]+,7.964e+01(4.13e+00)[9]+,6.150e+01(1.98e+00)[8]+,3.424e+01(3.13e+00)[6]+,2.229e+01(5.08e+00)[2]=,2.930e+01(3.76e+00)[5]+
15,6.346e+01(5.19e+00)[1] ,8.288e+01(1.70e+01)[2]+,1.169e+02(1.29e+01)[5]+,1.415e+02(1.73e+01)[7]+,1.666e+02(6.84e+00)[8]+,1.716e+02(9.90e+00)[9]+,1.314e+02(2.23e+01)[6]+,1.098e+02(3.58e+01)[4]+,8.354e+01(7.73e+00)[3]+
16,7.062e+01(4.79e+00)[1] ,8.420e+01(1.81e+01)[2]+,1.608e+02(2.02e+01)[5]+,1.864e+02(2.74e+01)[8]+,1.885e+02(1.51e+01)[9]+,1.807e+02(1.59e+01)[7]+,1.634e+02(3.87e+01)[6]+,1.230e+02(5.03e+01)[4]+,9.988e+01(9.26e+00)[3]+
,,15/1/0,16/0/0,14/0/2,16/0/0,16/0/0,16/0/0,7/7/2,16/0/0
