Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
 ,MaOEA-DS,MaOEA-DES,RVEA,NSGA-III,MOEA/DD,1by1EA,MOMBI-II,KnEA,tDEA
1,3.076e+01(1.73e-01)[2] ,3.191e+01(5.44e-01)[3]+,3.255e+01(3.23e-01)[4]+,2.798e+01(4.09e-01)[1]-,1.008e+02(1.33e+00)[9]+,3.435e+01(5.51e-01)[6]+,3.639e+01(3.89e-01)[8]+,3.568e+01(4.17e-01)[7]+,3.323e+01(2.28e-01)[5]+
2,5.483e+01(2.82e-01)[2] ,5.658e+01(2.89e-01)[3]+,6.217e+01(2.01e+00)[4]+,5.155e+01(2.95e-01)[1]-,1.395e+02(4.35e+00)[9]+,6.228e+01(1.93e+00)[6]+,6.621e+01(2.78e+00)[8]+,6.483e+01(2.12e+00)[7]+,6.219e+01(2.19e+00)[5]+
3,7.855e+01(7.23e-01)[2] ,8.234e+01(4.08e-01)[3]+,9.202e+01(6.85e+00)[5]+,7.628e+01(5.41e-01)[1]-,1.729e+02(1.24e+01)[9]+,8.978e+01(6.61e+00)[4]+,9.611e+01(6.81e+00)[8]+,9.528e+01(7.70e+00)[7]+,9.303e+01(7.90e+00)[6]+
4,1.061e+02(5.51e-01)[2] ,1.107e+02(2.72e+00)[3]+,1.126e+02(1.63e+00)[6]+,1.035e+02(9.57e-01)[1]-,1.915e+02(1.81e+00)[9]+,1.111e+02(1.61e+00)[4]+,1.149e+02(1.37e+00)[8]+,1.137e+02(1.10e+00)[7]+,1.119e+02(1.38e+00)[5]+
5,3.764e+01(7.00e-01)[5] ,3.793e+01(1.81e-01)[7]+,3.509e+01(3.37e-01)[1]-,3.568e+01(1.43e+00)[3]-,9.596e+01(1.81e+00)[9]+,3.596e+01(2.26e-01)[4]-,3.890e+01(3.56e-01)[8]+,3.767e+01(2.69e-01)[6]=,3.562e+01(3.35e-01)[2]-
6,6.140e+01(4.80e-01)[1] ,6.363e+01(5.60e-01)[4]+,6.229e+01(1.90e+00)[3]=,6.611e+01(4.27e-01)[7]+,1.312e+02(2.68e+00)[9]+,6.152e+01(1.56e+00)[2]=,6.697e+01(1.81e+00)[8]+,6.538e+01(1.24e+00)[6]+,6.364e+01(1.88e+00)[5]+
7,7.083e+01(5.05e-01)[7] ,7.039e+01(3.84e-01)[6]-,6.673e+01(1.03e+00)[1]-,7.174e+01(4.76e-01)[8]+,1.310e+02(2.90e+00)[9]+,6.824e+01(2.11e+00)[3]-,6.968e+01(1.40e+00)[5]-,6.905e+01(1.32e+00)[4]-,6.715e+01(1.19e+00)[2]-
8,9.700e+01(8.26e-01)[6] ,9.667e+01(3.01e-01)[5]=,9.333e+01(5.77e+00)[1]-,1.012e+02(1.24e+00)[8]+,1.638e+02(1.30e+01)[9]+,9.516e+01(9.59e+00)[4]-,9.734e+01(6.93e+00)[7]=,9.498e+01(5.06e+00)[3]-,9.476e+01(6.07e+00)[2]-
9,4.045e+01(3.80e-01)[6] ,4.046e+01(6.19e-01)[7]=,3.502e+01(9.31e-01)[2]-,4.158e+01(3.99e-01)[8]+,8.780e+01(2.11e+00)[9]+,3.467e+01(1.05e+00)[1]-,3.911e+01(1.10e+00)[5]-,3.778e+01(1.21e+00)[4]-,3.654e+01(3.01e+00)[3]-
10,6.240e+01(3.55e-01)[5] ,6.361e+01(8.20e-01)[7]+,5.955e+01(1.73e+00)[2]-,6.551e+01(9.25e-01)[8]+,1.164e+02(1.92e+00)[9]+,5.953e+01(1.54e+00)[1]-,6.273e+01(1.39e+00)[6]+,6.151e+01(1.52e+00)[4]=,5.997e+01(1.49e+00)[3]-
11,7.506e+01(3.80e-01)[4] ,7.659e+01(2.54e-01)[5]+,7.320e+01(8.05e-01)[2]-,7.867e+01(4.50e-01)[8]+,1.368e+02(2.01e+00)[9]+,7.215e+01(6.74e-01)[1]-,7.803e+01(6.93e-01)[7]+,7.681e+01(8.61e-01)[6]+,7.445e+01(5.17e-01)[3]-
